2026/01/30 06:39:48 Authorizing with Application Default Credentials
2026/01/30 06:39:48 [buoyant-purpose-475203-t9:australia-southeast1:bapteamproject] Listening on [::]:5434
2026/01/30 06:39:48 The proxy has started successfully and is ready for new connections!
2026/01/30 07:03:20 [buoyant-purpose-475203-t9:australia-southeast1:bapteamproject] Accepted connection from 127.0.0.1:58785
2026/01/30 07:03:22 [buoyant-purpose-475203-t9:australia-southeast1:bapteamproject] Accepted connection from 127.0.0.1:64287
2026/01/30 07:03:22 [buoyant-purpose-475203-t9:australia-southeast1:bapteamproject] Accepted connection from 127.0.0.1:64289
2026/01/30 07:03:22 [buoyant-purpose-475203-t9:australia-southeast1:bapteamproject] Accepted connection from 127.0.0.1:64291
2026/01/30 07:09:08 [buoyant-purpose-475203-t9:australia-southeast1:bapteamproject] Accepted connection from 127.0.0.1:63941
2026/01/30 07:09:08 [buoyant-purpose-475203-t9:australia-southeast1:bapteamproject] client closed the connection
2026/01/30 07:09:08 [buoyant-purpose-475203-t9:australia-southeast1:bapteamproject] Accepted connection from 127.0.0.1:63943
2026/01/30 07:09:08 [buoyant-purpose-475203-t9:australia-southeast1:bapteamproject] client closed the connection
2026/01/30 07:09:08 [buoyant-purpose-475203-t9:australia-southeast1:bapteamproject] Accepted connection from 127.0.0.1:49672
2026/01/30 07:10:56 [buoyant-purpose-475203-t9:australia-southeast1:bapteamproject] Accepted connection from 127.0.0.1:52409
2026/01/30 07:10:56 [buoyant-purpose-475203-t9:australia-southeast1:bapteamproject] client closed the connection
2026/01/30 07:13:33 [buoyant-purpose-475203-t9:australia-southeast1:bapteamproject] Accepted connection from 127.0.0.1:59889
2026/01/30 07:13:33 [buoyant-purpose-475203-t9:australia-southeast1:bapteamproject] client closed the connection
2026/01/30 07:15:55 [buoyant-purpose-475203-t9:australia-southeast1:bapteamproject] connection aborted - error reading from client: read tcp 127.0.0.1:5434->127.0.0.1:63941: wsarecv: An existing connection was forcibly closed by the remote host.
2026/01/30 07:15:55 [buoyant-purpose-475203-t9:australia-southeast1:bapteamproject] connection aborted - error reading from client: read tcp 127.0.0.1:5434->127.0.0.1:49672: wsarecv: An existing connection was forcibly closed by the remote host.
2026/01/30 07:15:55 [buoyant-purpose-475203-t9:australia-southeast1:bapteamproject] connection aborted - error reading from client: read tcp 127.0.0.1:5434->127.0.0.1:59889: wsarecv: An existing connection was forcibly closed by the remote host.
